instrument,strategy,entry_date,exit_date,direction,entry_price,exit_price,exit_reason,pnl,pnl_pct,hold_bars
SILVERMIC,Strategy1_SUVMomentum,2026-06-02 11:00:00,2026-06-02 11:50:00,Long,275183.0,275060.0,Time Stop,-13634.374000000002,-0.1651552360913768,10
SILVERMIC,Strategy2_VPIN,2026-05-25 10:40:00,2026-05-25 10:50:00,Short,280189.0,279930.0,Time Stop,-2352.142,-0.027982802084783244,2
SILVERMIC,Strategy2_VPIN,2026-05-25 10:55:00,2026-05-25 11:05:00,Short,279828.0,280222.0,Time Stop,-21940.9,-0.2613617412601074,2
SILVERMIC,Strategy2_VPIN,2026-05-26 09:05:00,2026-05-26 09:15:00,Short,277350.0,277349.0,Time Stop,-9994.582,-0.12011996875187789,2
SILVERMIC,Strategy2_VPIN,2026-05-26 11:10:00,2026-05-26 11:20:00,Short,276006.0,275808.0,Time Stop,-4032.652,-0.04870246782074786,2
SILVERMIC,Strategy2_VPIN,2026-05-26 11:20:00,2026-05-26 11:30:00,Short,275808.0,275940.0,Time Stop,-13931.464000000002,-0.16837152415206716,2
SILVERMIC,Strategy2_VPIN,2026-05-26 11:30:00,2026-05-26 11:40:00,Long,275940.0,275969.0,Time Stop,-9104.362,-0.10997997149138701,2
SILVERMIC,Strategy2_VPIN,2026-05-26 11:40:00,2026-05-26 11:50:00,Long,275969.0,276065.0,Time Stop,-7096.611999999999,-0.085717502086587,2
SILVERMIC,Strategy2_VPIN,2026-05-26 11:50:00,2026-05-26 12:00:00,Long,276075.0,275690.0,Time Stop,-21521.77,-0.25985414591445566,2
SILVERMIC,Strategy2_VPIN,2026-06-03 10:35:00,2026-06-03 10:45:00,Long,270207.0,270494.0,Time Stop,-1162.6180000000004,-0.014342312868775919,2
SILVERMIC,Strategy2_VPIN,2026-06-03 10:45:00,2026-06-03 10:55:00,Long,270450.0,270045.0,Time Stop,-21918.91,-0.2701535712084797,2
SILVERMIC,Strategy3_VolumeSpike,2026-05-19 14:35:00,2026-05-19 15:15:00,Short,276582.0,276560.0,Time Stop,-9336.556,-0.11252306127417307,8
SILVERMIC,Strategy3_VolumeSpike,2026-05-19 16:25:00,2026-05-19 17:05:00,Long,277800.0,276900.0,Time Stop,-37024.6,-0.4442596592272618,8
SILVERMIC,Strategy3_VolumeSpike,2026-05-19 17:55:00,2026-05-19 18:30:00,Long,278251.0,277135.4,Trailing Stop,-43504.955199999305,-0.5211715944716497,7
SILVERMIC,Strategy3_VolumeSpike,2026-05-19 18:35:00,2026-05-19 19:15:00,Short,276660.0,272399.0,Time Stop,117906.938,1.4205997493915516,8
SILVERMIC,Strategy3_VolumeSpike,2026-05-20 09:00:00,2026-05-20 09:40:00,Short,271279.0,271260.0,Time Stop,-9235.702000000001,-0.11348343710104114,8
SILVERMIC,Strategy3_VolumeSpike,2026-05-20 11:00:00,2026-05-20 11:40:00,Long,272380.0,272786.0,Time Stop,2327.0120000000006,0.028477519152164878,8
SILVERMIC,Strategy3_VolumeSpike,2026-05-20 12:15:00,2026-05-20 12:55:00,Long,275007.0,275031.0,Time Stop,-9220.684000000001,-0.1117630217897484,8
SILVERMIC,Strategy3_VolumeSpike,2026-05-20 15:25:00,2026-05-20 16:05:00,Long,276109.0,277008.0,Time Stop,16973.894,0.2049177921279881,8
SILVERMIC,Strategy3_VolumeSpike,2026-05-20 16:05:00,2026-05-20 16:45:00,Long,277047.0,276026.2,Trailing Stop,-40619.31759999965,-0.4887175292760152,8
SILVERMIC,Strategy3_VolumeSpike,2026-05-20 18:30:00,2026-05-20 19:10:00,Short,275745.0,274890.0,Time Stop,15698.569999999998,0.18977158848452977,8
SILVERMIC,Strategy3_VolumeSpike,2026-05-20 20:00:00,2026-05-20 20:40:00,Long,278755.0,276872.0,Time Stop,-66531.286,-0.7955765935439124,8
SILVERMIC,Strategy3_VolumeSpike,2026-05-21 09:00:00,2026-05-21 09:40:00,Short,276497.0,276350.0,Time Stop,-5581.245999999999,-0.06728519055661844,8
SILVERMIC,Strategy3_VolumeSpike,2026-05-21 10:55:00,2026-05-21 11:35:00,Short,275220.0,275599.0,Time Stop,-21324.742,-0.2582751011312162,8
SILVERMIC,Strategy3_VolumeSpike,2026-05-21 13:35:00,2026-05-21 14:15:00,Long,274704.0,275250.0,Time Stop,6440.827999999998,0.07815476537169702,8
SILVERMIC,Strategy3_VolumeSpike,2026-05-21 15:55:00,2026-05-21 16:35:00,Short,274000.0,274055.0,Time Stop,-11554.990000000002,-0.14057165450121656,8
SILVERMIC,Strategy3_VolumeSpike,2026-05-21 17:50:00,2026-05-21 18:00:00,Short,274029.0,274834.86666666664,Trailing Stop,-34095.54959999918,-0.41474381178633385,2
SILVERMIC,Strategy3_VolumeSpike,2026-05-21 19:20:00,2026-05-21 20:00:00,Long,275726.0,274891.0,Time Stop,-35001.106,-0.42313874401882057,8
SILVERMIC,Strategy3_VolumeSpike,2026-05-21 21:30:00,2026-05-21 22:10:00,Long,276450.0,276614.0,Time Stop,-5075.152,-0.06119433291131609,8
SILVERMIC,Strategy3_VolumeSpike,2026-05-21 22:40:00,2026-05-21 23:20:00,Long,277388.0,278925.0,Time Stop,36056.366,0.43328437663729746,8
SILVERMIC,Strategy3_VolumeSpike,2026-05-22 11:05:00,2026-05-22 11:25:00,Long,279010.0,277990.0,Trailing Stop,-40666.0,-0.48583682783173837,4
SILVERMIC,Strategy3_VolumeSpike,2026-05-22 11:25:00,2026-05-22 11:50:00,Short,276739.0,277968.06666666665,Trailing Stop,-46896.727199999536,-0.5648731259417662,5
SILVERMIC,Strategy3_VolumeSpike,2026-05-22 13:05:00,2026-05-22 13:25:00,Short,276418.0,277189.6,Trailing Stop,-33152.936799999305,-0.39979230489089357,4
SILVERMIC,Strategy3_VolumeSpike,2026-05-22 17:45:00,2026-05-22 18:00:00,Long,277120.0,276183.3333333333,Trailing Stop,-38099.46000000058,-0.45827872401848274,3
SILVERMIC,Strategy3_VolumeSpike,2026-05-22 18:00:00,2026-05-22 18:25:00,Short,275711.0,276750.4666666667,Trailing Stop,-41168.306400000234,-0.49772293452202043,5
SILVERMIC,Strategy3_VolumeSpike,2026-05-22 19:45:00,2026-05-22 20:25:00,Short,275198.0,274900.0,Time Stop,-1001.7640000000029,-0.01213385756194937,8
SILVERMIC,Strategy3_VolumeSpike,2026-05-22 23:25:00,2026-05-25 09:00:00,Short,278000.0,280780.0,Stop Loss,-93498.04000000001,-1.1210796163069545,1
SILVERMIC,Strategy3_VolumeSpike,2026-05-25 09:00:00,2026-05-25 09:40:00,Long,279300.0,279728.0,Time Stop,2737.496000000001,0.032670915383697346,8
SILVERMIC,Strategy3_VolumeSpike,2026-05-25 15:35:00,2026-05-25 16:15:00,Long,280706.0,280431.0,Time Stop,-18390.466,-0.21838348069985444,8
SILVERMIC,Strategy3_VolumeSpike,2026-05-25 17:30:00,2026-05-25 18:10:00,Short,280051.0,280146.0,Time Stop,-12973.546000000002,-0.15441884989995872,8
SILVERMIC,Strategy3_VolumeSpike,2026-05-25 18:30:00,2026-05-25 19:10:00,Short,279726.0,280044.0,Time Stop,-19655.86,-0.23422754171343865,8
SILVERMIC,Strategy3_VolumeSpike,2026-05-25 22:20:00,2026-05-25 23:00:00,Long,280120.0,280640.0,Time Stop,5466.319999999998,0.06504736065495738,8
SILVERMIC,Strategy3_VolumeSpike,2026-05-26 09:00:00,2026-05-26 09:40:00,Short,277669.0,276728.0,Time Stop,18210.854,0.21861585796998104,8
SILVERMIC,Strategy3_VolumeSpike,2026-05-26 12:35:00,2026-05-26 13:15:00,Short,275286.0,275300.0,Time Stop,-10370.548,-0.12557301618438038,8
